product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type
emporia smart electric vehicle (ev) charger | up to 48 amp | level 2 wifi enabled evse | nema 14-50 or hardwired | indoor/outdoor charging station | 24-ft cable,https://www.amazon.com/Emporia-Electric-Vehicle-Hardwired-Charging/dp/B09BG18LVS/ref=sr_1_25?dchild=1&qid=1633496195&s=automotive&sr=1-25,B09BG18LVS,EMPORIA ENERGY,EV chargers,499,>400$,153,76347,0.9712448082158199,NA,NA,26,20.1-40pound,NA,NA,48 amp,21-50AMP,NA,NA,NA,manual
lectron level 2 ev charger (240v16 amp) with 21ft extension cord j1772 cable & nema 10-30 plug,https://www.amazon.com/LECTRON-Level-Charger-Extension-J1772/dp/B079NTNJ5C/ref=sr_1_26?dchild=1&qid=1633496195&s=automotive&sr=1-26,B079NTNJ5C,Lectron,EV chargers,199.99,101-200$,176,35198,0.4477697193024013,NA,NA,6.93,5.1-10pound,NA,NA,16 amp,0-20AMP,240,NA,NA,manual
lectron 240v 40 amp level 2 ev charger with 18ft extension cord j1772 cable & nema 14-50 plug,https://www.amazon.com/Lectron-Level-Charger-Extension-J1772/dp/B07YXT3HDR/ref=sr_1_29?dchild=1&qid=1633496195&s=automotive&sr=1-29,B07YXT3HDR,Lectron,EV chargers,327.99,201-400$,110,36079,0.4589773198111068,NA,NA,9.85,5.1-10pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
morec ev charger 16a 3.68kw nema6-20 plug with adapter for nema 5-15 100v-240v 21ft (6.5m) level 1 level 2 electric vehicle charging cable compatible with all ev cars,https://www.amazon.com/Morec-Portable-220V-240V-Electric-Compatible/dp/B07HH4LJD2/ref=sr_1_32?dchild=1&qid=1633496195&s=automotive&sr=1-32,B07HH4LJD2,Morec,EV chargers,184,101-200$,107,19688,0.2504599759539086,NA,NA,6.29,5.1-10pound,NA,NA,16 Amps,0-20AMP,220 Volts,NA,NA,manual
megear level 1-2 ev charger(100-240v16a) portable evse home electric vehicle charging station(nema6-20 with adapter for nema5-15),https://www.amazon.com/MEGEAR-100-240V-Portable-Electric-Charging/dp/B097DX8BZF/ref=sr_1_36?dchild=1&qid=1633496195&s=automotive&sr=1-36,B097DX8BZF,MEGEAR,EV chargers,199,101-200$,390,77610,0.9873120039507746,NA,NA,8.2,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
shell electric vehicle charger level 2 40 amp fast charging ev charger 240v ev home charge station with 30ft cable electric car charging adapter with nema 14-50r plug compatible with sae j1772 evs,https://www.amazon.com/SHELL-Electric-Vehicle-Charging-Compatible/dp/B08ZHMLP8B/ref=sr_1_38?dchild=1&qid=1633496195&s=automotive&sr=1-38,B08ZHMLP8B,SHELL,EV chargers,499.99,>400$,82,40999,0.5215668708926402,NA,NA,21,20.1-40pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
splitvolt 24a nema 10-30 ev charger portable level 2 240v 16.4 ft cord fastest nec-safe 30 amp circuit charging evse compatible with evs via j1772 plug including tesla ford chevy audi nissan,https://www.amazon.com/Splitvolt-Portable-Compatible-Electric-Including/dp/B08GP81NY1/ref=sr_1_39?dchild=1&qid=1633496195&s=automotive&sr=1-39,B08GP81NY1,Splitvolt,EV chargers,279.99,201-400$,167,46758,0.5948297214370611,NA,NA,7.7,5.1-10pound,NA,NA,24 Amps,21-50AMP,240 Volts,China,NA,manual
evocharge evse level 2 electric vehicle charging station with 18 ft cable 240v 32a ul listed ev charger nema 6-50 plug indoor/outdoor rated charge up to 8x faster than level 1,https://www.amazon.com/EVoCharge-EVoInnovate-Electric-Charging-Adjustable/dp/B07BKMX3NL/ref=sr_1_40?dchild=1&qid=1633496195&s=automotive&sr=1-40,B07BKMX3NL,EVoCharge,EV chargers,584,>400$,107,62488,0.7949381845493622,EvoCharge EVSE,NA,13.55,10.1-20pound,11 x 7.5 x 3.2 inches,2011-500sq.inch,32 Amps,21-50AMP,240 Volts,NA,NA,manual
morec 40amp ev charger level 2 nema14-50 220v-240v portable ev charging cable faster ev charging station electric vehicle charger compatible with all ev cars 26ft,https://www.amazon.com/Morec-Portable-Electric-220V-240V-Compatible/dp/B07G93GXGW/ref=sr_1_41?dchild=1&qid=1633496195&s=automotive&sr=1-41,B07G93GXGW,Morec,EV chargers,349.99,201-400$,52,18199,0.23151773173431447,NA,NA,8.8,5.1-10pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
grizzl-e level 2 smart ev charger 16/24/32/40 amp nema 6-50/14-50 plug 24 feet premium indoor/outdoor car charging station (14-50 plug),https://www.amazon.com/Grizzl-Charger-Premium-Outdoor-Charging/dp/B08ZJSKP87/ref=sr_1_43?dchild=1&qid=1633496195&s=automotive&sr=1-43,B08ZJSKP87,Grizzl-E,EV chargers,539,>400$,81,43659,0.5554059371277782,NA,NA,20.1,20.1-40pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
mustart level 2 portable ev charger (240 volt 25ft cable 40 amp) electric vehicle charger plug-in ev charging station with nema 14-50p update version,https://www.amazon.com/MUSTART-Extension-Electric-Charging-Stations/dp/B07H58ZD7S/ref=sr_1_44?dchild=1&qid=1633496195&s=automotive&sr=1-44,B07H58ZD7S,MUSTART,EV chargers,359,201-400$,169,60671,0.7718233035909992,NA,NA,13.77,10.1-20pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
morec 16a ev charger level 1-2 nema6-20p with adapterfor nema 5-15 100v-240v portable evse sae j1772 plug 8m (26 feet) home electric vehicle charging station compatible with all ev cars,https://www.amazon.com/Morec-NEMA6-20P-Adapterfor-100V-240V-Compatible/dp/B07Q5RD5TL/ref=sr_1_46?dchild=1&qid=1633496195&s=automotive&sr=1-46,B07Q5RD5TL,Morec,EV chargers,214,201-400$,53,11342,0.1442867252777952,NA,NA,6.14,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
level 2 ev charger by ev gear | 30 ft portable plug-in charger 110v - 240v | includes level 1 adapter | works with all electric & hybrid cars such as chevy volt/bolt nissan leaf prius prime tesla,https://www.amazon.com/Level-EV-Charger-Gear-Portable/dp/B074VP6Y2D/ref=sr_1_50?dchild=1&qid=1633496223&s=automotive&sr=1-50,B074VP6Y2D,EV Gear,EV chargers,299.99,201-400$,50,15000,0.19082180207784588,NA,NA,6.9,5.1-10pound,12.2 x 12 x 5.8 inches,501-1000sq.inch,NA,NA,NA,China,NA,manual
mustart level 2 portable ev charger (240 volt 25ft cable 32 amp) electric vehicle charger plug-in ev charging station with nema 14-50p (upgrade version),https://www.amazon.com/MUSTART-Portable-Charger-Electric-Charging/dp/B083DYWT36/ref=sr_1_57?dchild=1&qid=1633496223&s=automotive&sr=1-57,B083DYWT36,MUSTART,EV chargers,329,201-400$,71,23359,0.29716043164909345,NA,NA,11.59,10.1-20pound,NA,NA,32 amp,21-50AMP,NA,NA,NA,manual
megear 2021 gen2 updated version level 1 ev charger (110v 16a 25ft) portable evse home electric vehicle charging station (nema5-15 plug),https://www.amazon.com/Megear-Portable-Electric-Charging-NEMA5-15/dp/B08RXZX8NB/ref=sr_1_59?dchild=1&qid=1633496223&s=automotive&sr=1-59,B08RXZX8NB,MEGEAR,EV chargers,205,201-400$,124,25420,0.3233793472545895,NA,NA,8,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
electrify america - homestation level 2 wifi enabled electric vehicle (ev) home charger up to 40 amps 240v ul and energy star certified indoor/outdoor use with 24 ft. cable,https://www.amazon.com/Electrify-America-HomeStation-Electric-Certified/dp/B0948844XD/ref=sr_1_60?dchild=1&qid=1633496223&s=automotive&sr=1-60,B0948844XD,Electrify America,EV chargers,649,>400$,34,22066,0.28071159230998316,NA,NA,NA,NA,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
mustart 40 amp level 2 portable ev charger charging cable station electric vehicle charger plug-in ev charging station with all j1772 ev cars (240 volt 25ft cable nema 14-50),https://www.amazon.com/MUSTART-Portable-Charger-Charging-Electric/dp/B08L76J1WB/ref=sr_1_61?dchild=1&qid=1633496223&s=automotive&sr=1-61,B08L76J1WB,MUSTART,EV chargers,349,201-400$,41,14309,0.18203127772879313,NA,NA,13.22,10.1-20pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
max green upgraded version level 2 ev charger(240v 16a 25ft) portable evse home electric vehicle charging station(nema 14-50 plug),https://www.amazon.com/MAX-GREEN-Upgraded-Portable-Electric/dp/B08TH4Y154/ref=sr_1_62?dchild=1&qid=1633496223&s=automotive&sr=1-62,B08TH4Y154,MAX GREEN,EV chargers,199,101-200$,66,13134,0.16708356989936185,NA,NA,8.62,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
lectron 240v 40 amp level 2 electric vehicle (ev) charging station with 20ft/6m j1772 cable & nema 14-50 plug - evse 9.6kw compatible with all sae j1772 electric vehicles,https://www.amazon.com/Lectron-Electric-Vehicle-Charging-Station/dp/B08RJ7WYPD/ref=sr_1_63?dchild=1&qid=1633496223&s=automotive&sr=1-63,B08RJ7WYPD,Lectron,EV chargers,429.99,>400$,34,14620,0.18598764975854046,NA,NA,13.82,10.1-20pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
morec 15a ev charger level 1-2 nema5-15p ev charging cable 100v-120v portable evse sae j1772 plug home electric vehicle charging station compatible with all ev cars 7.5m (24 feet),https://www.amazon.com/Morec-NEMA5-15P-Charging-100V-120V-Compatible/dp/B089GNZ4R5/ref=sr_1_67?dchild=1&qid=1633496223&s=automotive&sr=1-67,B089GNZ4R5,Morec,EV chargers,171,101-200$,23,3933,0.05003347650481119,NA,NA,6.64,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
lefanev 32 amp ev charger level 2(nema 14-50 32a/25ft220v-240v7.68kw) portable evse electric vehicle charging station for sae j1772 electric cars,https://www.amazon.com/Charger-220V-240V-Portable-Electric-Charging/dp/B07VLFV715/ref=sr_1_68?dchild=1&qid=1633496223&s=automotive&sr=1-68,B07VLFV715,LEFANEV,EV chargers,329,201-400$,21,6909,0.0878925220370558,BS-PCD041,NA,10.43,10.1-20pound,NA,NA,32 Amps,21-50AMP,240 Volts,China,NA,manual
mustart level 2 portable ev charger (240 volt 25ft cable 40 amp) electric vehicle charger plug-in ev charging station with nema 6-50p (update version),https://www.amazon.com/MUSTART-Portable-Charger-Electric-Charging/dp/B07Q2S86F5/ref=sr_1_69?dchild=1&qid=1633496223&s=automotive&sr=1-69,B07Q2S86F5,MUSTART,EV chargers,359,201-400$,97,34823,0.4429991742504551,NA,NA,8.16,5.1-10pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
orion motor tech level 1 ev charger (110v 16a 30ft) portable evse home electric vehicle charging station compatible with chevy volt nissan leaf fiat ford fusion (sae j1772-evse ul recognized),https://www.amazon.com/Orion-Motor-Tech-Compatible-J1772-EVSE/dp/B08YYTJJ3P/ref=sr_1_75?dchild=1&qid=1633496259&s=automotive&sr=1-75,B08YYTJJ3P,Orion Motor Tech,EV chargers,189.99,101-200$,25,4750,0.06042690399131786,NA,NA,8.4,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
lefanev 40a ev charger level 2 station wall electric vehicle (ev) charging station (nema14-5020ft220v -240v sae j1772) for all electric vehicles,https://www.amazon.com/LEFANEV-Electric-Charging-NEMA14-50-Vehicles/dp/B08CXZ9MX3/ref=sr_1_76?dchild=1&qid=1633496259&s=automotive&sr=1-76,B08CXZ9MX3,LEFANEV,EV chargers,529,>400$,44,23276,0.2961045510109294,NA,NA,13.97,10.1-20pound,NA,NA,NA,NA,NA,NA,NA,manual
lectron 240v 32 amp level 2 electric vehicle (ev) charging station with 20ft/6m j1772 cable & nema 14-50 plug - evse 7.68kw compatible with all sae j1772 electric vehicles,https://www.amazon.com/Lectron-Electric-Vehicle-Charging-Station/dp/B08RHGLR2D/ref=sr_1_77?dchild=1&qid=1633496259&s=automotive&sr=1-77,B08RHGLR2D,Lectron,EV chargers,389.99,201-400$,55,21449,0.27286245551784777,NA,NA,14.17,10.1-20pound,NA,NA,32 amp,21-50AMP,NA,NA,NA,manual
grizzl-e level 2 smart ev charger 16/24/32/40 amp nema 14-50 plug 24 feet premium indoor/outdoor car charging station (avalanche edition),https://www.amazon.com/Grizzl-Charger-Premium-Charging-Avalanche/dp/B09GG9M4VW/ref=sr_1_78?dchild=1&qid=1633496259&s=automotive&sr=1-78,B09GG9M4VW,Grizzl-E,EV chargers,539,>400$,30,16170,0.20570590263991784,NA,NA,19.93,10.1-20pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
elecvlife level 2 ev charger nema 6-20 electric vehicle 16a 3.68kw j1772 extension cable 25ft electric cars charging station100-240vnema 5-15 to nema 6-20 adapter,https://www.amazon.com/Charger-Electric-Vehicle-Charging-100-240V/dp/B08Q3YBFJP/ref=sr_1_79?dchild=1&qid=1633496259&s=automotive&sr=1-79,B08Q3YBFJP,Elecvlife,EV chargers,184,101-200$,30,5520,0.07022242316464729,NA,NA,6.39,5.1-10pound,NA,NA,NA,NA,NA,China,NA,manual
lefanev ev charger level 2 cable (2.2/3.6kw10/16a100-250v nema 6-20 25ft) portable home electric vehicle charging station with nema 5-15 to nema 6-20 adapter,https://www.amazon.com/LEFANEV-100-250V-Portable-Electric-Charging/dp/B08CX6YFPB/ref=sr_1_80?dchild=1&qid=1633496259&s=automotive&sr=1-80,B08CX6YFPB,LEFANEV,EV chargers,171,101-200$,30,5130,0.06526105631062329,NA,NA,5.29,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
lefanev 32a ev charger level 2 station wall electric vehicle (ev) charging station (nema14-5020ft220v -240v sae j1772) for all electric vehicles,https://www.amazon.com/LEFANEV-Charging-Station-Electric-Vehicles/dp/B07VVGX4MF/ref=sr_1_83?dchild=1&qid=1633496259&s=automotive&sr=1-83,B07VVGX4MF,LEFANEV,EV chargers,449,>400$,59,26491,0.3370040239229477,NA,NA,6.6,5.1-10pound,9.84 x 10.24 x 16.14 inches,>1000sq.inch,NA,NA,NA,China,NA,manual
potato ev charger level 2 electric vehicle charging station nema6-20 plug with adapter level 1 nema5-15(100-240v 3.84kw) compatible with all ev cars,https://www.amazon.com/POTATO-Electric-Charging-NEMA6-20-Compatible/dp/B07MHK9YF9/ref=sr_1_88?dchild=1&qid=1633496259&s=automotive&sr=1-88,B07MHK9YF9,POTATO,EV chargers,199,101-200$,35,6965,0.08860492343147977,NA,NA,7.81,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
potato ev charger level 1 electric vehicle charging station nema5-15 plug(100-120v 1.92kw 25ft cord)compatible with all j1772 standard ev,https://www.amazon.com/POTATO-Charger-Electric-Portable-Adapters/dp/B07DWVNLCZ/ref=sr_1_90?dchild=1&qid=1633496259&s=automotive&sr=1-90,B07DWVNLCZ,POTATO,EV chargers,195,101-200$,61,11895,0.1513216890477318,NA,NA,7.63,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
megear level 1 ev charger(100-120v25ft6/8/10/12/16 amp adjustable) portable evse home electric vehicle charging station with timer and lcd screen (nema5-15 plug),https://www.amazon.com/Megear-100-120V-Adjustable-Portable-Electric/dp/B08LMX4TJR/ref=sr_1_97?dchild=1&qid=1633496356&s=automotive&sr=1-97,B08LMX4TJR,MEGEAR,EV chargers,219,201-400$,54,11826,0.1504439087581737,NA,NA,8.58,5.1-10pound,NA,NA,16 amp,0-20AMP,NA,NA,NA,manual
dasanrao ev charger car cover rain sun uv protectionwaterproof charging car cover for tesla model ymodel 3 outdoor car charging accessories compatible with most electric cars,https://www.amazon.com/DASANRAO-Protection-Waterproof-Accessories-Compatible/dp/B093RJ58TH/ref=sr_1_99?dchild=1&qid=1633496356&s=automotive&sr=1-99,B093RJ58TH,DASANRAO,EV chargers,24.89,0-50$,36,896,0.011398422310783328,NA,NA,0.55,0-1pound,NA,NA,NA,NA,NA,NA,NA,manual
fit 2019-2021 chevrolet silverado gmc sierra wireless charger 15w super fast phone wireless charging tray pad for chevy silverado gmc sierra 1500 2500/3500hd accessories,https://www.amazon.com/2019-2021-Chevrolet-Silverado-Wireless-Accessories/dp/B09B3F9X7Z/ref=sr_1_100?dchild=1&qid=1633496356&s=automotive&sr=1-100,B09B3F9X7Z,xipex,EV chargers,189.99,101-200$,23,4370,0.055592751672012435,NA,NA,1.5,1.1-2pound,144 x 104.4 x 33.6 inches,>1000sq.inch,NA,NA,NA,NA,NA,manual
carqiwireless wireless charger for ford explorer 2020-2021 u625 accessories phone wireless charging pad mat fit for ford explorer base/xlt/limited/st/platinum/explorer limited hybrid,https://www.amazon.com/CarQiWireless-Wireless-Explorer-2020-2021-Accessories/dp/B08Q7B4DLJ/ref=sr_1_101?dchild=1&qid=1633496356&s=automotive&sr=1-101,B08Q7B4DLJ,CarQiWireless,EV chargers,59.98,51-100$,25,1500,0.01908218020778459,NA,NA,0.55,0-1pound,9.65 x 5.83 x 1.18 inches,51-100sq.inch,NA,NA,NA,NA,NA,manual
book engine level 2 ev charger(240v16a25ft) portable evse home electric vehicle charging station universal,https://www.amazon.com/Charger-Portable-Electric-Charging-Universal/dp/B096GBJW14/ref=sr_1_112?dchild=1&qid=1633496356&s=automotive&sr=1-112,B096GBJW14,Generic,EV chargers,139.99,101-200$,27,3780,0.04808709412361716,NA,NA,5.64,5.1-10pound,NA,NA,NA,NA,NA,NA,NA,manual
morec 32 amp ev charger level 2 nema14-50 26ft 220v-240v upgraded portable ev charging cable station electric vehicle charger compatible with all ev cars.,https://www.amazon.com/Morec-NEMA14-50-220V-240V-Upgraded-Compatible/dp/B07FNZBR5W/ref=sr_1_113?dchild=1&qid=1633496356&s=automotive&sr=1-113,B07FNZBR5W,Morec,EV chargers,329.99,201-400$,51,16829,0.21408934047787123,NA,NA,10.38,10.1-20pound,NA,NA,32 amp,21-50AMP,240 Volts,NA,NA,manual
doothun ev charger level 1/2 16 amp universal electric vehicle home charging station with level 1 adapter and lcd screen (j1772 nema 6-20 for 5-15 25ft 90-250v),https://www.amazon.com/DOOTHUN-Charger-Universal-Electric-Charging/dp/B097R74R9X/ref=sr_1_115?dchild=1&qid=1633496356&s=automotive&sr=1-115,B097R74R9X,DOOTHUN,EV chargers,169.99,101-200$,30,5100,0.0648794127064676,NA,NA,8.93,5.1-10pound,NA,NA,16 amp,0-20AMP,NA,NA,NA,manual
ev gear level 2 electric vehicle wall charger station 40 amp/240v 25ft cable nema 14-50 wall plug replacement of/compatible with electric vehicles using sae j1772 plug,https://www.amazon.com/EV-Gear-Charging-Electric-Compatible/dp/B07YF41Q6X/ref=sr_1_128?dchild=1&qid=1633496427&s=automotive&sr=1-128,B07YF41Q6X,EV Gear,EV chargers,599.99,>400$,24,14400,0.18318892999473205,NA,NA,16.42,10.1-20pound,NA,NA,40 Amps,21-50AMP,240 Volts,NA,NA,manual
lefanev 40 amp ev charger level 2(nema 14-50 40a/25ft220v-240v9.6kw) portable evse electric vehicle charging station for sae j1772 electric cars,https://www.amazon.com/LEFANEV-220V-240V-Portable-Electric-Charging/dp/B08B7WQHPZ/ref=sr_1_129?dchild=1&qid=1633496427&s=automotive&sr=1-129,B08B7WQHPZ,LEFANEV,EV chargers,315.72,201-400$,34,10734,0.1365520815669065,NA,NA,11.03,10.1-20pound,314.96 x 1.97 x 1.97 inches,>1000sq.inch,40 Amps,21-50AMP,240 Volts,NA,SAE J1772 Charging protocol standard,manual
morec ev charger level 2 32 amp upgraded portable electric vehicle charger nema 6-50 220v-240v 26ft (7.9m) ev charging cable sae j1772 compatible with most electric cars,https://www.amazon.com/Morec-Upgraded-Portable-220V-240V-Compatible/dp/B07W5XSN1S/ref=sr_1_142?dchild=1&qid=1633496427&s=automotive&sr=1-142,B07W5XSN1S,Morec,EV chargers,329.99,201-400$,25,8250,0.10495199114281524,NA,NA,10.23,10.1-20pound,NA,NA,32 Amps,21-50AMP,240 Volts,NA,NA,manual
couplago duosida new j1772 plug 50 amp level 2 208v - 240v sae type 1 usa standard,https://www.amazon.com/Duosida-J1772-Plug-Level-208V/dp/B01LK7J1GK/ref=sr_1_155?dchild=1&qid=1633496484&s=automotive&sr=1-155,B01LK7J1GK,Couplago,EV chargers,109.95,101-200$,30,3299,0.04196807500365424,NA,NA,0.85,0-1pound,NA,NA,50 amp,21-50AMP,NA,NA,NA,manual
primecom level 2 ev charger 220/240v 16a 30ft & 50ft portable evse electric vehicle charging cable compatible with bolt volt leaf bmw i3 fiat 500e clarity niro prius (50 feet 10-30p),https://www.amazon.com/PRIMECOM-Portable-Electric-Charging-Compatible/dp/B07NCTRLWY/ref=sr_1_160?dchild=1&qid=1633496484&s=automotive&sr=1-160,B07NCTRLWY,PRIMECOM,EV chargers,379,201-400$,38,14402,0.18321437290167575,NA,NA,11.82,10.1-20pound,12 x 12 x 4 inches,501-1000sq.inch,NA,NA,240 Volts,NA,NA,manual
zencar ev charger level 2 32 amp portable evse home electric vehicle charging station with ev charger plug holder and cable holder timing delay (sae j1722 230v 10a-32a nema 14-50),https://www.amazon.com/Charger-Electric-Vehicle-Charging-Station/dp/B08FM825WX/ref=sr_1_167?dchild=1&qid=1633496484&s=automotive&sr=1-167,B08FM825WX,EVCARS,EV chargers,309.99,201-400$,27,8370,0.106478565559438,NA,NA,12.27,10.1-20pound,NA,NA,32 amp,21-50AMP,NA,NA,NA,manual
morec ev charger 32 amp nema14-50 sae j1772 ev charging cable level 2 portable electric vehicle charger 220v-240v 26ft (7.9m) compatible with most electric vehicle cars,https://www.amazon.com/Morec-NEMA14-50-Charging-220V-240V-Compatible/dp/B08G85C78Q/ref=sr_1_181?dchild=1&qid=1633496542&s=automotive&sr=1-181,B08G85C78Q,Morec,EV chargers,170,101-200$,30,5100,0.0648794127064676,NA,NA,8.8,5.1-10pound,NA,NA,32 Amps,21-50AMP,240 Volts,NA,NA,manual
